problem_number,Day,mode,initial MSE,MSE,added_train_set_labels,train_point_df_initial
9,2,GP,0.6081081081081081,0.07647058823529412,[1896 2725 2099  486 2513 2499  454 2036 3720  271 2305 2201],"[1896 2725 1237 1069 2264 2828 3467  526 2636 3533  159   73  972  343
 2157 1021  309 2064 1350  312 1845  948]"
10,0,GP,0.3567567567567568,0.1772853185595568,[1989 2873 1771 2718 2250  913  309  948 2579  343 2361],[1989 2873]
10,1,GP,0.3567567567567568,0.09631728045325778,[1989 2873 1031 1934 2201  108  972 2054 1844 1021],[1989 2873 1771 2718 2250  913  309  948 2579  343 2361]
10,2,GP,0.3567567567567568,0.11078717201166181,[1989 2873   56 3285 2513 2499  271  531 2636 2304  208 3720],"[1989 2873 1771 2718 2250  913  309  948 2579  343 2361 1031 1934 2201
  108  972 2054 1844 1021]"
11,0,GP,0.31891891891891894,0.21944444444444444,[1350 2091 1200 2670   98 2240 1896 2421 2551 3597 2539 1946],[1350 2091]
11,1,GP,0.31891891891891894,0.10571428571428572,[1350 2091 2510 1850  951  271  385 1898  159 3702  243  955],[1350 2091 1200 2670   98 2240 1896 2421 2551 3597 2539 1946]
11,2,GP,0.31891891891891894,0.09411764705882353,[1350 2091 2304 2159 1343  761 2201 2499 3720  338  449 1905],"[1350 2091 1200 2670   98 2240 1896 2421 2551 3597 2539 1946 2510 1850
  951  271  385 1898  159 3702  243  955]"
12,0,GP,0.5351351351351351,0.11944444444444445,[ 612   66 3486 1529    3 1233 2358  309 1456 1432 2832  629],[612  66]
12,1,GP,0.5351351351351351,0.08857142857142856,[ 612   66   64 1026 2159  422   54  761 2499 1898  312  955],[ 612   66 3486 1529    3 1233 2358  309 1456 1432 2832  629]
12,2,GP,0.5351351351351351,0.0469208211143695,[ 612   66 2513 2100 3720  271 2304 2163 1857  454 1989],"[ 612   66 3486 1529    3 1233 2358  309 1456 1432 2832  629   64 1026
 2159  422   54  761 2499 1898  312  955]"
13,0,GP,0.22162162162162163,0.20833333333333334,[1189 2338 1010 2636 1237 1200 1459 3376  271 2034   73   64],[1189 2338]
13,1,GP,0.22162162162162163,0.150997150997151,[1189 2338 3255 3533 1071 3688  108  629 2513 2201   56],[1189 2338 1010 2636 1237 1200 1459 3376  271 2034   73   64]
13,2,GP,0.22162162162162163,0.10850439882697947,[1189 2338 1850 2099 1344 2499 1858 1905  214 2305  343 2304],"[1189 2338 1010 2636 1237 1200 1459 3376  271 2034   73   64 3255 3533
 1071 3688  108  629 2513 2201   56]"
14,0,GP,0.5621621621621622,0.15833333333333333,[ 346  717 2560 3271 1384   23 3651 3668 2240 2355 3014  454],[346 717]
14,1,GP,0.5621621621621622,0.12,[ 346  717 2099 2876  127 2264 2513 1898 1946  629 2304 2157],[ 346  717 2560 3271 1384   23 3651 3668 2240 2355 3014  454]
14,2,GP,0.5621621621621622,0.06764705882352941,[ 346  717 2314  338 2034  309  312  836 2510 2499  765 2485],"[ 346  717 2560 3271 1384   23 3651 3668 2240 2355 3014  454 2099 2876
  127 2264 2513 1898 1946  629 2304 2157]"
15,0,GP,0.6243243243243243,0.2265193370165746,[ 243  486 1357 3487 2606 1237 2099 2159 2838 1102],[243 486]
15,1,GP,0.6243243243243243,0.11931818181818182,[ 243  486 2828  108  626  159 2305 1934 2036 2774 2499  454],[ 243  486 1357 3487 2606 1237 2099 2159 2838 1102]
15,2,GP,0.6243243243243243,0.14285714285714285,[ 243  486 2201 1993  309 2513  761 2054 1844 1850  271],"[ 243  486 1357 3487 2606 1237 2099 2159 2838 1102 2828  108  626  159
 2305 1934 2036 2774 2499  454]"
16,0,GP,0.5,0.23822714681440443,[1481 2099  503 2838  531 2670    3  185  930 3533  385],[1481 2099]
16,1,GP,0.5,0.09686609686609686,[1481 2099 1384 1924 1346  486   64 1932 1941 2264 2031  454],[1481 2099  503 2838  531 2670    3  185  930 3533  385]
16,2,GP,0.5,0.09941520467836257,[1481 2099 1905  343 1857 2305 2201  761 2304  338 2036],"[1481 2099  503 2838  531 2670    3  185  930 3533  385 1384 1924 1346
  486   64 1932 1941 2264 2031  454]"
17,0,GP,0.6189189189189189,0.09722222222222222,[ 185 2554 1237 3376 1896 3601 2034 3567 3120 3611 3225 1845],[ 185 2554]
17,1,GP,0.6189189189189189,0.11142857142857143,[ 185 2554   98 3285  214 2510 2499 1857 1932  346  454  765],[ 185 2554 1237 3376 1896 3601 2034 3567 3120 3611 3225 1845]
17,2,GP,0.6189189189189189,0.07058823529411765,[ 185 2554  348 1946 1849  422   54 2064 1858 2304 2201  449],"[ 185 2554 1237 3376 1896 3601 2034 3567 3120 3611 3225 1845   98 3285
  214 2510 2499 1857 1932  346  454  765]"
